0 1 2 3 4 5 6 7
0.547062 0.057834 0.071287 0.098961 0.515703 0.113386 0.214587 0.200661
0.388922 0.120624 0.254700 0.116038 0.450626 0.176174 0.311813 0.132670
0.761237 0.252282 0.088446 0.131656 0.501758 0.344835 0.454789 0.205299
0.269563 0.168991 0.295565 0.339444 0.246878 0.336190 0.287208 0.765254
0.364275 0.073950 0.171424 0.197584 0.367138 0.635640 0.173262 0.219620
0.033120 0.535844 0.047134 0.273326 0.421145 0.487347 0.133240 0.194063
0.710702 0.054534 0.040942 0.249518 0.313038 0.152860 0.907992 0.150931
0.909281 0.080219 0.065202 0.194746 0.746848 0.416361 0.389718 0.115934
0.187211 0.050080 0.815446 0.317306 0.354739 0.033260 0.126158 0.065977
0.725754 0.126856 0.117303 0.138888 0.970384 0.169028 0.401831 0.152353
0.615872 0.668530 0.056918 0.139147 0.672926 0.215170 0.223391 0.724846
0.782115 0.827260 0.172758 0.173437 0.268240 0.213026 0.460672 0.183168
0.912773 0.049360 0.165972 0.165785 0.273829 0.047401 0.277271 0.088363
0.670236 0.110180 0.155159 0.722265 0.347185 0.106286 0.398058 0.134436
